codigo_clase,class_name,sector,phi_mass,phi_mass_noself,n_neighbors_pos
1410,"Manufacture of wearing apparel, except fur apparel",Secundario,1.756454,0.756454,199
1420,Manufacture of articles of fur,Secundario,1.08652,0.08652,14
1430,Manufacture of knitted and crocheted apparel,Secundario,1.048606,0.048606,16
1511,Tanning and dressing of leather; dressing and dyeing of fur,Secundario,1.067409,0.067409,11
1512,"Manufacture of luggage, handbags and the like, saddlery and harness",Secundario,1.174442,0.174442,49
1520,Manufacture of footwear,Secundario,1.197863,0.197863,65
1610,Sawmilling and planing of wood,Secundario,1.30779,0.30779,89
1621,Manufacture of veneer sheets and wood-based panels,Secundario,1.090736,0.090736,16
1622,Manufacture of builders' carpentry and joinery,Secundario,1.354225,0.354225,119
1623,Manufacture of wooden containers,Secundario,1.0948,0.0948,34
1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",Secundario,1.193789,0.193789,57
1701,"Manufacture of pulp, paper and paperboard",Secundario,1.136887,0.136887,29
1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,Secundario,1.130584,0.130584,21
1709,Manufacture of other articles of paper and paperboard,Secundario,1.18099,0.18099,52
1811,Printing,Secundario,1.596295,0.596295,158
1812,Service activities related to printing,Secundario,1.572795,0.572795,155
1820,Reproduction of recorded media,Secundario,1.110917,0.110917,18
1920,Manufacture of refined petroleum products,Secundario,1.307885,0.307885,58
2011,Manufacture of basic chemicals,Secundario,1.429236,0.429236,60
2012,Manufacture of fertilizers and nitrogen compounds,Secundario,1.174067,0.174067,53
2013,Manufacture of plastics and synthetic rubber in primary forms,Secundario,1.139017,0.139017,39
2021,Manufacture of pesticides and other agrochemical products,Secundario,1.174596,0.174596,40
2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Secundario,1.138626,0.138626,27
2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Secundario,1.322586,0.322586,102
2029,Manufacture of other chemical products n.e.c.,Secundario,1.341174,0.341174,71
2030,Manufacture of man-made fibres,Secundario,1.017413,0.017413,2
2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Secundario,1.386175,0.386175,67
2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,Secundario,1.044467,0.044467,19
2219,Manufacture of other rubber products,Secundario,1.413497,0.413497,52
2220,Manufacture of plastics products,Secundario,1.445077,0.445077,113
2310,Manufacture of glass and glass products,Secundario,1.164142,0.164142,51
2391,Manufacture of refractory products,Secundario,1.208779,0.208779,49
2392,Manufacture of clay building materials,Secundario,1.118906,0.118906,34
2393,Manufacture of other porcelain and ceramic products,Secundario,1.145073,0.145073,54
2394,"Manufacture of cement, lime and plaster",Secundario,1.282206,0.282206,28
2395,"Manufacture of articles of concrete, cement and plaster",Secundario,1.29391,0.29391,93
2396,"Cutting, shaping and finishing of stone",Secundario,1.249845,0.249845,35
2399,Manufacture of other non-metallic mineral products n.e.c.,Secundario,1.573739,0.573739,60
2410,Manufacture of basic iron and steel,Secundario,1.335341,0.335341,68
2420,Manufacture of basic precious and other non-ferrous metals,Secundario,1.23929,0.23929,36
2431,Casting of iron and steel,Secundario,1.179775,0.179775,36
2432,Casting of non-ferrous metals,Secundario,1.058632,0.058632,12
2511,Manufacture of structural metal products,Secundario,1.450734,0.450734,146
2512,"Manufacture of tanks, reservoirs and containers of metal",Secundario,1.612974,0.612974,59
2513,"Manufacture of steam generators, except central heating hot water boilers",Secundario,1.005802,0.005802,9
2520,Manufacture of weapons and ammunition,Secundario,1.024107,0.024107,4
2591,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",Secundario,1.076222,0.076222,27
